link,num_page,status,name
https://bitcoin.stackexchange.com/questions?tab=newest&pagesize=50,610,done,hung
https://ethereum.stackexchange.com/questions?tab=newest&pagesize=50,1051,done,hung
https://quant.stackexchange.com/questions?tab=newest&pagesize=50,434,done,hung
https://money.stackexchange.com/questions?tab=newest&pagesize=50,767,done,hyung
https://tezos.stackexchange.com/questions?tab=newest&pagesize=50,44,done,hung
https://cardano.stackexchange.com/questions?tab=newest&pagesize=50,55,done,hung
https://substrate.stackexchange.com/questions?tab=newest&pagesize=50,92,,
https://monero.stackexchange.com/questions?tab=newest&pagesize=50,89,,
https://iota.stackexchange.com/questions?tab=newest&pagesize=50,22,
https://economics.stackexchange.com/questions?tab=newest&pagesize=50,310,,thang
https://serverfault.com/questions?tab=newest&pagesize=50,6745,,thang
https://meta.stackexchange.com/questions?tab=newest&pagesize=50,1989,,thang
https://superuser.com/questions?tab=newest&pagesize=50, 10018,,hung
https://webapps.stackexchange.com/questions?tab=newest&pagesize=50, 675,,
https://webmasters.stackexchange.com/questions?tab=newest&pagesize=50, 761,,tien
https://gamedev.stackexchange.com/questions?tab=newest&pagesize=50, 1125,,tien
https://gis.stackexchange.com/questions?tab=newest&pagesize=50, 3233,,tien
https://askubuntu.com/questions?tab=newest&pagesize=50, 8246,,
https://unix.stackexchange.com/questions?tab=newest&pagesize=50, 4717,,hoang
https://dba.stackexchange.com/questions?tab=newest&pagesize=50, 2037,,hoang
https://dsp.stackexchange.com/questions?tab=newest&pagesize=50, 543,,hoang
